tx_hash,datetime_utc,direction,matched_counterparty,value_bnb,usd_at_tx_time,usd_at_today_rate,from_addr,to_addr
0x070b3935a9d8ae0dd8f9cffac26d30cf1227dfed5ed9c153da72f1c6d12d9cc5,2022-10-17 12:21:06,set_to_you,0x87c1715176dfd3e3083c68287b339dd0606a56bf,0.073,47.39,48.09,0x87c1715176dfd3e3083c68287b339dd0606a56bf,0x128c33c16ee6d337154d0996220a791d89aa0442
0x304b9687329fb236bfb3495d728ed4e5bb7829ce6b26197964dc84c7ba76b728,2022-10-12 10:54:01,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.291,188.90,191.71,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x3b4ffb1459fdea8bd1bd5c14791780027e20fec7ce464cb036ca2fb1640d86d4,2022-10-11 9:52:19,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,3.1,2012.33,2042.31,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x076269779661bda52f41a0c7ff215a194d82c9513fc4ebeba158f7c06e84b801,2022-10-09 7:39:10,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.069,44.79,45.46,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xbe98342438e80d95480eaf56447200988fbd5c918ee5912071694d5cf5232ad3,2022-10-09 7:10:19,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.001519088,0.99,1.00,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xb37523d048658abff04f7c73aee0e2e37e0ab77cb6f3bf8023ac705cb55e1bbd,2022-10-06 22:10:37,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.057,37.02,37.55,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x59e872fa8b10b7f228f92ddc9783a25c1b9a7d37a84ef738b7c4c16246de1926,2022-10-06 21:53:24,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.009,5.85,5.93,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0xea96b4c2f05380379e7faede5031f102aa32259ad9d195b966594767942c7001,2022-10-05 23:29:51,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.062,40.27,40.85,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
0x1b5cd714bf8567f39722ff03a55977f1bc62b55076d1ba787b4e5720001a82b5,2022-10-05 22:51:57,set_to_you,0x87c1715176dfd3e3083c68287b339dd0606a56bf,0.017,11.04,11.20,0x87c1715176dfd3e3083c68287b339dd0606a56bf,0x128c33c16ee6d337154d0996220a791d89aa0442
0x47f16a63b1128ae81765873bcb84d33b84d39c64da8d266cbdb8fff17c79883d,2022-10-05 12:07:14,you_to_set,0xb6934215b856b03430fc8dc058bd1c668b6a3182,0.276,179.25,181.83,0x128c33c16ee6d337154d0996220a791d89aa0442,0xb6934215b856b03430fc8dc058bd1c668b6a3182
